(2, 26296, 0.25885129819040126)
(2, 24766, 0.31286127167630057)
(3, 28572, 0.35730680948737564)
(3, 59676, 0.36405959031657353)
(5, 13236, 0.27364185110663986)
(7, 10313, 0.3843537414965986)
(7, 25040, 0.3481781376518219)
(7, 59921, 0.38153503893214685)
(7, 71701, 0.32579650565262075)
(11, 58419, 0.30680507497116494)
(23, 42976, 0.2755102040816326)
(23, 101081, 0.33194444444444443)
(33, 69779, 0.18900675024108005)
(42, 77353, 0.2728047740835465)
(47, 61600, 0.22230652503793627)
(47, 48965, 0.25225225225225223)
(47, 53707, 0.21933085501858737)
(47, 36821, 0.23665480427046262)
(77, 80479, 0.34951456310679613)
(81, 27591, 0.2676056338028169)
(84, 6745, 0.38075601374570445)
(103, 763, 0.26626506024096386)
(105, 2250, 0.3251072961373391)
(105, 620, 0.2853828306264501)
(105, 25619, 0.3301384451544196)
(105, 92340, 0.24622716441620335)
(105, 19605, 0.2737556561085973)
(105, 50904, 0.31534772182254195)
(105, 85181, 0.30990173847316704)
(105, 81791, 0.32139201637666326)
(111, 5477, 0.3479295573536411)
(111, 24871, 0.38508682328907046)
(111, 60955, 0.35945108455068614)
(111, 72669, 0.34081346423562414)
(116, 11049, 0.2719060523938573)
(122, 5186, 0.23634453781512604)
(122, 17263, 0.18497109826589594)
(122, 22106, 0.165961049957663)
(122, 9624, 0.2476060191518468)
(122, 71135, 0.2394904458598726)
(129, 6574, 0.2690401081568274)
(129, 22318, 0.363932898415657)
(129, 84095, 0.32221283783783783)
(141, 74983, 0.3236363636363636)
(141, 1447, 0.34827044025157233)
(141, 85807, 0.3429368029739777)
(141, 24689, 0.3235563703024748)
(141, 35602, 0.3520408163265306)
(141, 36663, 0.3317972350230415)
(143, 21986, 0.2847222222222222)
(143, 54245, 0.3574660633484163)
(146, 68153, 0.4169034090909091)
(146, 24605, 0.3034693099504384)
(146, 79039, 0.4111727966689799)
(147, 10373, 0.2750373692077728)
(147, 13671, 0.28346456692913385)
(147, 1992, 0.3598326359832636)
(147, 26985, 0.39510703363914373)
(147, 8300, 0.3744548286604361)
(147, 63054, 0.3675908221797323)
(147, 3825, 0.32854578096947934)
(147, 28053, 0.3241232731137088)
(147, 89270, 0.39831697054698456)
(147, 12184, 0.3691084611016468)
(147, 24985, 0.3778353856124433)
(153, 69354, 0.32897770945426597)
(153, 51890, 0.25757575757575757)
(153, 92181, 0.27049180327868855)
(153, 27481, 0.321875)
(159, 45203, 0.3401723430447271)
(159, 92596, 0.3232421875)
(159, 20054, 0.22985915492957745)
(159, 26395, 0.2675054704595186)
(162, 66799, 0.3208092485549133)
(163, 22977, 0.26212471131639725)
(163, 35661, 0.2628135223555071)
(163, 71856, 0.2238219895287958)
(163, 68243, 0.23572170301142265)
(163, 30005, 0.2855740922473013)
